City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cooma,-36.2333,149.1333,5.2,75,5,0.61,AU,1730315884
1,atafu village,-8.5421,-172.5159,28.26,69,12,5.14,TK,1730315885
2,waitangi,-43.9535,-176.5597,11.57,83,23,1.79,NZ,1730315886
3,khanty-mansiysk,61.0042,69.0019,0.06,86,40,2.0,RU,1730315888
4,punta arenas,-53.15,-70.9167,13.06,47,75,10.29,CL,1730315889
5,polyarnyy,69.1989,33.4478,1.77,73,100,5.31,RU,1730315687
6,ancud,-41.8697,-73.8203,13.9,75,47,4.1,CL,1730315891
7,kirakira,-10.4544,161.9205,25.26,85,20,0.95,SB,1730315892
8,bilibino,68.0546,166.4372,-15.52,91,100,2.36,RU,1730315893
9,gaoyou,32.7858,119.4278,14.0,86,0,4.01,CN,1730315894
10,port-aux-francais,-49.35,70.2167,4.17,89,100,13.1,TF,1730315895
11,bredasdorp,-34.5322,20.0403,15.37,79,0,2.15,ZA,1730315897
12,grytviken,-54.2811,-36.5092,1.48,83,79,3.35,GS,1730315898
13,lata,40.1629,-8.3327,14.17,78,100,0.53,PT,1730315899
14,broken hill,-31.95,141.4333,16.81,32,23,9.43,AU,1730315900
15,jamestown,42.097,-79.2353,24.45,47,0,5.14,US,1730315742
16,ola,59.5833,151.2833,-7.65,63,100,7.18,RU,1730315902
17,isafjordur,66.0755,-23.124,0.0,97,98,1.24,IS,1730315891
18,keflavik,64.0049,-22.5624,3.24,93,75,4.63,IS,1730315904
19,yellowknife,62.456,-114.3525,-9.69,85,75,2.57,CA,1730315906
20,namibe,-15.1961,12.1522,19.15,78,10,3.99,AO,1730315907
21,kourou,5.1552,-52.6478,29.47,62,60,3.54,GF,1730315908
22,masterton,-40.9597,175.6575,11.85,86,21,2.38,NZ,1730315910
23,blackmans bay,-43.0167,147.3167,9.85,93,100,0.45,AU,1730315911
24,anahuac,27.2333,-100.15,30.27,47,0,1.04,MX,1730315912
25,east london,-33.0153,27.9116,17.57,71,8,5.84,ZA,1730315914
26,bethel,41.3712,-73.414,25.16,55,0,3.09,US,1730315844
27,saipan,15.1355,145.701,28.39,78,40,7.72,MP,1730315916
28,adamstown,-25.066,-130.1015,20.65,80,100,10.11,PN,1730315845
29,souillac,-20.5167,57.5167,23.21,60,20,2.57,MU,1730315918
30,kailua-kona,19.6406,-155.9956,27.55,78,40,2.57,US,1730315919
31,kodiak,57.79,-152.4072,2.73,56,0,2.57,US,1730315694
32,longyearbyen,78.2186,15.6401,-5.09,58,75,7.2,SJ,1730315869
33,tolanaro,-25.0319,46.9987,25.04,83,75,9.26,MG,1730315923
34,ribeira grande,38.5167,-28.7,20.99,88,40,7.2,PT,1730315924
35,guapimirim,-22.5372,-42.9819,22.42,86,95,1.62,BR,1730315925
36,albany,42.6001,-73.9662,23.69,59,100,1.79,US,1730315912
37,wailua homesteads,22.0669,-159.378,25.44,92,100,8.23,US,1730315927
38,thompson,55.7435,-97.8558,-0.91,51,40,6.17,CA,1730315849
39,revelstoke,50.9832,-118.2023,3.01,93,75,1.03,CA,1730315929
40,codrington,-38.2667,141.9667,10.61,85,100,3.57,AU,1730315931
41,edinburgh of the seven seas,-37.0676,-12.3116,13.84,77,21,7.96,SH,1730315932
42,adre,13.4667,22.2,26.05,22,0,2.39,TD,1730315933
43,leeton,-34.5667,146.4,12.83,42,83,1.68,AU,1730315934
44,zelenokumsk,44.4069,43.8806,12.6,66,70,0.94,RU,1730315935
45,andergrove,-21.0833,149.1833,21.45,77,5,2.46,AU,1730315936
46,port alfred,-33.5906,26.891,15.1,93,100,0.89,ZA,1730315937
47,holualoa,19.6228,-155.9522,25.48,79,40,2.57,US,1730315938
48,flying fish cove,-10.4217,105.6791,24.82,94,100,3.6,CX,1730315940
49,madimba,-10.4,40.3333,26.36,84,90,4.84,TZ,1730315941
50,badger,64.8,-147.5333,-16.86,83,40,0.0,US,1730315942
51,lebu,-37.6167,-73.65,14.49,77,64,4.09,CL,1730315838
52,aioun,16.6614,-9.6149,33.73,14,100,3.28,MR,1730315944
53,wabag,-5.4781,143.7021,11.14,99,66,1.28,PG,1730315945
54,sinop,41.7711,34.8709,8.8,93,56,0.52,TR,1730315671
55,ban houakhoua,20.2453,100.4547,21.35,89,12,0.44,LA,1730315947
56,bryne,58.7354,5.6477,10.87,85,75,4.63,NO,1730315949
57,sitka,57.0531,-135.33,10.94,58,75,7.2,US,1730315950
58,posto fiscal rolim de moura,-13.0833,-62.2667,28.0,66,100,0.55,BR,1730315951
59,okoneshnikovo,54.8377,75.0834,0.17,80,100,2.08,RU,1730315952
60,kununurra,-15.7667,128.7333,26.99,74,100,1.54,AU,1730315953
61,invercargill,-46.4,168.35,11.12,94,100,3.58,NZ,1730315954
62,anadyr,64.75,177.4833,-1.72,74,40,12.0,RU,1730315955
63,taghazout,30.5426,-9.7112,18.72,72,0,0.89,MA,1730315958
64,nadi,-17.8,177.4167,24.0,83,100,0.0,FJ,1730315959
65,qaqortoq,60.7167,-46.0333,-9.26,63,0,3.2,GL,1730315960
66,alice springs,-23.7,133.8833,17.75,27,0,1.54,AU,1730315961
67,hermanus,-34.4187,19.2345,16.0,72,0,5.07,ZA,1730315962
