City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,21.42,91,84,3.58,EC,1729980976
1,gardabani,41.4605,45.0928,9.05,72,0,2.26,GE,1729980977
2,blackmans bay,-43.0167,147.3167,14.74,64,88,3.4,AU,1729980979
3,adamstown,-25.066,-130.1015,20.14,91,100,8.37,PN,1729980980
4,chifeng,42.2683,118.9636,2.49,82,14,1.56,CN,1729980982
5,touros,-5.1989,-35.4608,25.78,74,63,5.9,BR,1729980983
6,thompson,55.7435,-97.8558,2.09,51,40,2.57,CA,1729980984
7,albany,42.6001,-73.9662,11.36,38,2,2.24,US,1729980874
8,edinburgh of the seven seas,-37.0676,-12.3116,15.76,95,100,11.65,SH,1729980986
9,kruisfontein,-34.0033,24.7314,14.68,84,91,6.85,ZA,1729980987
10,port-aux-francais,-49.35,70.2167,1.73,68,33,13.21,TF,1729980988
11,berdigestyakh,62.0989,126.6992,-25.08,100,77,0.86,RU,1729980990
12,port alfred,-33.5906,26.891,17.88,82,81,3.58,ZA,1729980991
13,uddevalla,58.3478,11.9424,10.55,92,92,2.87,SE,1729980992
14,grytviken,-54.2811,-36.5092,-3.59,77,46,3.8,GS,1729980993
15,chenzhou,25.8,113.0333,14.87,98,100,1.23,CN,1729980898
16,bethel,41.3712,-73.414,14.41,41,0,3.6,US,1729980698
17,waitangi,-43.9535,-176.5597,14.9,98,100,5.36,NZ,1729980997
18,atafu village,-8.5421,-172.5159,27.88,79,99,5.59,TK,1729980998
19,maymana,35.9214,64.7836,13.15,65,98,0.34,AF,1729980999
20,barras,-4.2444,-42.2944,28.87,52,63,5.2,BR,1729981000
21,katabu,-4.9333,122.5167,24.44,86,19,0.91,ID,1729981001
22,minot,48.2325,-101.2963,15.12,33,0,3.6,US,1729980709
23,margaret river,-33.95,115.0667,9.54,88,14,2.25,AU,1729981003
24,fortuna,40.5982,-124.1573,21.66,69,28,5.53,US,1729981005
25,upata,8.0086,-62.3989,27.17,68,93,3.67,VE,1729981006
